FlightNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,AircraftType,Duration,Status
1018,SFO,ATL,2024-11-01 01:11:00,2024-11-01 05:26:00,Boeing 777,255,Cancelled
1019,ATL,MIA,2024-03-11 18:19:00,2024-03-11 19:30:00,Boeing 777,71,Cancelled
1020,ATL,JFK,2024-05-07 23:49:00,2024-05-08 05:40:00,Airbus A320,351,Delayed
1021,DEN,MIA,2024-12-19 01:24:00,2024-12-19 04:13:00,Airbus A380,169,Delayed
1022,LAX,ORD,2024-08-05 15:13:00,2024-08-05 19:38:00,Boeing 777,265,Delayed
1023,ATL,DFW,2024-07-31 23:37:00,2024-08-01 05:18:00,Boeing 777,341,Scheduled
1024,ORD,DEN,2024-08-01 21:41:00,2024-08-02 02:55:00,Airbus A320,314,Scheduled
1025,ATL,SEA,2024-09-05 02:41:00,2024-09-05 06:12:00,Airbus A380,211,Delayed
1026,SFO,LAX,2024-05-22 23:39:00,2024-05-23 03:58:00,Boeing 777,259,Scheduled
1027,DFW,ATL,2024-01-30 08:15:00,2024-01-30 10:37:00,Airbus A320,142,Delayed
1028,ATL,ORD,2024-11-07 21:00:00,2024-11-07 23:40:00,Airbus A380,160,Scheduled
1029,ORD,LAS,2024-07-09 20:24:00,2024-07-09 21:25:00,Boeing 737,61,Scheduled
1030,ATL,ORD,2024-03-19 23:06:00,2024-03-20 01:54:00,Airbus A380,168,Cancelled
1031,JFK,ORD,2024-01-07 02:57:00,2024-01-07 08:35:00,Boeing 737,338,Scheduled
1032,ORD,ATL,2024-04-06 00:40:00,2024-04-06 04:43:00,Airbus A320,243,Scheduled
1033,ORD,MIA,2024-01-10 15:24:00,2024-01-10 18:14:00,Airbus A320,170,Scheduled
1034,SFO,LAS,2024-10-01 05:14:00,2024-10-01 09:23:00,Airbus A380,249,Scheduled
1035,DFW,SFO,2024-10-24 01:24:00,2024-10-24 03:48:00,Boeing 737,144,Cancelled
1036,ORD,ATL,2024-09-30 13:27:00,2024-09-30 18:27:00,Boeing 737,300,Cancelled
1037,MIA,DFW,2024-05-18 11:04:00,2024-05-18 13:21:00,Boeing 737,137,Delayed
1038,ATL,MIA,2024-09-26 06:22:00,2024-09-26 07:52:00,Boeing 777,90,Scheduled
1039,DEN,ATL,2024-06-04 10:19:00,2024-06-04 12:42:00,Airbus A380,143,Delayed
1040,ATL,LAS,2024-02-28 09:34:00,2024-02-28 12:00:00,Boeing 777,146,Cancelled
1041,SEA,SEA,2024-03-19 00:13:00,2024-03-19 06:03:00,Airbus A320,350,Scheduled
1042,LAS,MIA,2024-08-30 05:08:00,2024-08-30 08:18:00,Airbus A380,190,Scheduled
1043,DEN,DEN,2024-01-12 06:33:00,2024-01-12 10:04:00,Boeing 737,211,Delayed
1044,DEN,SFO,2024-08-24 22:52:00,2024-08-25 03:14:00,Airbus A320,262,Delayed
1045,ATL,SFO,2024-07-16 10:27:00,2024-07-16 14:13:00,Boeing 777,226,Delayed
1046,JFK,JFK,2024-08-20 16:11:00,2024-08-20 17:20:00,Airbus A320,69,Cancelled
1047,LAX,ATL,2024-10-24 18:08:00,2024-10-24 21:53:00,Airbus A380,225,Delayed
1048,DFW,ATL,2024-04-25 11:39:00,2024-04-25 14:16:00,Boeing 777,157,Cancelled
1049,LAX,ATL,2024-04-23 04:20:00,2024-04-23 07:54:00,Boeing 777,214,Delayed
1050,ATL,ATL,2024-07-21 19:24:00,2024-07-21 23:40:00,Airbus A320,256,Delayed
1051,LAX,SEA,2024-03-27 01:43:00,2024-03-27 04:17:00,Airbus A380,154,Cancelled
1052,ORD,LAS,2024-03-09 04:16:00,2024-03-09 06:17:00,Boeing 737,121,Cancelled
1053,MIA,DEN,2024-10-05 19:11:00,2024-10-06 00:18:00,Boeing 777,307,Cancelled
1054,MIA,ORD,2024-06-16 09:28:00,2024-06-16 11:39:00,Airbus A380,131,Delayed
1055,LAS,DFW,2024-06-14 20:30:00,2024-06-15 02:03:00,Airbus A380,333,Scheduled
1056,SEA,SEA,2024-06-27 08:52:00,2024-06-27 13:16:00,Boeing 737,264,Cancelled
1057,LAS,JFK,2024-10-26 09:42:00,2024-10-26 12:04:00,Boeing 737,142,Cancelled
1058,ORD,LAS,2024-01-25 02:59:00,2024-01-25 08:04:00,Airbus A320,305,Scheduled
1059,SEA,ORD,2024-02-16 15:54:00,2024-02-16 19:55:00,Airbus A320,241,Scheduled
1060,SFO,DEN,2024-07-31 17:46:00,2024-07-31 19:06:00,Boeing 737,80,Scheduled
1061,LAS,MIA,2024-10-17 19:06:00,2024-10-17 21:08:00,Airbus A380,122,Delayed
1062,LAX,DFW,2024-07-20 09:43:00,2024-07-20 10:46:00,Boeing 777,63,Scheduled
1063,ORD,SFO,2024-11-18 23:30:00,2024-11-19 03:32:00,Boeing 737,242,Cancelled
1064,ORD,SFO,2024-08-06 19:31:00,2024-08-07 00:39:00,Boeing 737,308,Cancelled
1065,DEN,DEN,2024-06-06 10:08:00,2024-06-06 11:32:00,Boeing 737,84,Scheduled
1066,DFW,MIA,2024-02-06 13:06:00,2024-02-06 17:08:00,Airbus A320,242,Scheduled
1067,MIA,MIA,2024-11-27 06:50:00,2024-11-27 08:48:00,Boeing 777,118,Cancelled
1068,ATL,LAX,2024-09-26 04:40:00,2024-09-26 08:23:00,Boeing 737,223,Cancelled
1069,SEA,MIA,2024-09-25 16:45:00,2024-09-25 22:45:00,Boeing 777,360,Delayed
1070,ORD,MIA,2024-04-26 00:57:00,2024-04-26 04:45:00,Boeing 777,228,Scheduled
1071,DFW,LAS,2024-05-25 11:55:00,2024-05-25 16:57:00,Airbus A320,302,Scheduled
1072,DEN,LAX,2024-09-07 17:33:00,2024-09-07 18:37:00,Airbus A380,64,Cancelled
1073,SEA,DEN,2024-05-02 06:46:00,2024-05-02 10:52:00,Boeing 737,246,Delayed
1074,LAS,DFW,2024-10-08 16:58:00,2024-10-08 21:27:00,Boeing 777,269,Scheduled
1075,JFK,DEN,2024-11-17 00:15:00,2024-11-17 04:05:00,Airbus A320,230,Scheduled
1076,ATL,LAX,2024-06-26 10:29:00,2024-06-26 12:59:00,Boeing 777,150,Cancelled
1077,SFO,LAX,2024-02-24 01:09:00,2024-02-24 05:36:00,Airbus A320,267,Delayed
1078,LAX,ATL,2024-06-08 00:32:00,2024-06-08 05:26:00,Airbus A320,294,Scheduled
1079,ATL,ORD,2024-03-27 22:57:00,2024-03-28 02:07:00,Boeing 777,190,Cancelled
1080,ORD,LAX,2024-05-29 02:04:00,2024-05-29 05:39:00,Airbus A320,215,Cancelled
1081,LAX,SFO,2024-10-02 01:42:00,2024-10-02 06:42:00,Airbus A380,300,Scheduled
1082,LAS,JFK,2024-07-22 12:29:00,2024-07-22 17:01:00,Airbus A380,272,Scheduled
1083,DEN,SEA,2024-05-15 21:30:00,2024-05-16 02:27:00,Airbus A320,297,Cancelled
1084,ATL,SEA,2024-02-03 22:05:00,2024-02-03 23:27:00,Boeing 737,82,Cancelled
1085,LAX,MIA,2024-09-26 02:27:00,2024-09-26 06:59:00,Airbus A380,272,Scheduled
1086,MIA,SFO,2024-12-26 04:52:00,2024-12-26 07:52:00,Airbus A380,180,Delayed
1087,JFK,ATL,2024-03-02 12:20:00,2024-03-02 15:25:00,Boeing 737,185,Scheduled
1088,ORD,JFK,2024-04-26 09:48:00,2024-04-26 13:13:00,Airbus A320,205,Cancelled
1089,JFK,ATL,2024-05-25 21:03:00,2024-05-26 01:52:00,Boeing 777,289,Scheduled
1090,ATL,LAX,2024-08-31 11:57:00,2024-08-31 13:33:00,Airbus A320,96,Delayed
1091,DEN,SFO,2024-12-02 02:38:00,2024-12-02 08:08:00,Airbus A380,330,Scheduled
1092,DEN,ATL,2024-10-05 19:38:00,2024-10-05 22:27:00,Airbus A320,169,Scheduled
1093,DFW,ATL,2024-10-01 20:27:00,2024-10-02 01:17:00,Boeing 777,290,Scheduled
1094,LAS,SEA,2024-08-07 07:20:00,2024-08-07 08:31:00,Boeing 737,71,Scheduled
1095,MIA,LAX,2024-09-02 08:42:00,2024-09-02 10:27:00,Airbus A380,105,Cancelled
1096,MIA,JFK,2024-10-12 18:01:00,2024-10-12 23:13:00,Boeing 777,312,Delayed
1097,MIA,DEN,2024-11-07 21:50:00,2024-11-08 03:34:00,Airbus A380,344,Cancelled
1098,DFW,JFK,2024-07-15 12:13:00,2024-07-15 16:06:00,Boeing 777,233,Cancelled
1099,SFO,ATL,2024-10-16 12:14:00,2024-10-16 18:06:00,Boeing 737,352,Delayed
1100,ATL,LAX,2024-11-05 08:01:00,2024-11-05 09:14:00,Airbus A320,73,Cancelled
1101,LAX,LAX,2024-07-17 02:25:00,2024-07-17 04:13:00,Boeing 777,108,Cancelled
1102,LAX,SEA,2024-03-18 19:32:00,2024-03-18 22:52:00,Airbus A380,200,Delayed
1103,SFO,LAS,2024-11-02 18:08:00,2024-11-02 21:32:00,Airbus A320,204,Delayed
1104,ATL,LAS,2024-04-22 00:50:00,2024-04-22 02:49:00,Airbus A380,119,Delayed
1105,JFK,DFW,2024-11-10 10:14:00,2024-11-10 14:21:00,Airbus A320,247,Cancelled
1106,SFO,SEA,2024-01-31 04:34:00,2024-01-31 06:36:00,Boeing 777,122,Scheduled
1107,DEN,SFO,2024-05-14 16:28:00,2024-05-14 18:25:00,Airbus A380,117,Scheduled
1108,SEA,LAX,2024-11-30 17:33:00,2024-11-30 19:34:00,Boeing 777,121,Delayed
1109,DFW,LAS,2024-02-21 17:55:00,2024-02-21 19:56:00,Airbus A320,121,Cancelled
1110,LAX,MIA,2024-05-04 14:39:00,2024-05-04 19:36:00,Airbus A380,297,Cancelled
1111,DEN,DEN,2024-06-18 06:18:00,2024-06-18 07:30:00,Boeing 777,72,Delayed
1112,SEA,MIA,2024-12-27 16:34:00,2024-12-27 17:58:00,Boeing 737,84,Delayed
1113,MIA,LAX,2024-12-18 16:13:00,2024-12-18 19:55:00,Boeing 737,222,Cancelled
1114,LAX,SEA,2024-06-19 12:02:00,2024-06-19 14:35:00,Airbus A320,153,Cancelled
1115,JFK,MIA,2024-06-25 06:04:00,2024-06-25 11:31:00,Boeing 777,327,Scheduled
1116,DFW,JFK,2024-09-13 19:49:00,2024-09-14 01:30:00,Boeing 777,341,Scheduled
1117,DFW,DEN,2024-06-28 04:34:00,2024-06-28 09:16:00,Boeing 777,282,Scheduled
1118,DFW,JFK,2024-06-04 21:09:00,2024-06-04 22:24:00,Airbus A320,75,Delayed
1119,JFK,DEN,2024-11-07 19:35:00,2024-11-07 21:59:00,Airbus A320,144,Cancelled
1120,DEN,ORD,2024-05-29 13:57:00,2024-05-29 17:54:00,Boeing 737,237,Scheduled
1121,JFK,ATL,2024-02-17 16:35:00,2024-02-17 18:23:00,Boeing 737,108,Cancelled
1122,ORD,DEN,2024-09-23 19:27:00,2024-09-23 22:48:00,Boeing 777,201,Cancelled
1123,ATL,SFO,2024-07-26 08:08:00,2024-07-26 09:45:00,Boeing 737,97,Delayed
1124,LAS,DEN,2024-07-25 17:53:00,2024-07-25 23:51:00,Boeing 777,358,Cancelled
1125,MIA,LAX,2024-12-10 16:53:00,2024-12-10 18:36:00,Airbus A380,103,Cancelled
1126,ORD,ATL,2024-02-11 16:32:00,2024-02-11 18:10:00,Airbus A320,98,Cancelled
1127,LAX,DFW,2024-04-08 10:57:00,2024-04-08 15:57:00,Airbus A380,300,Delayed
1128,SFO,SFO,2024-10-08 08:32:00,2024-10-08 11:52:00,Boeing 777,200,Cancelled
1129,MIA,DFW,2024-08-22 07:26:00,2024-08-22 12:44:00,Airbus A380,318,Delayed
1130,JFK,LAS,2024-02-16 07:45:00,2024-02-16 11:53:00,Boeing 777,248,Scheduled
1131,MIA,LAS,2024-03-12 03:44:00,2024-03-12 09:09:00,Boeing 737,325,Delayed
1132,LAX,SEA,2024-10-19 13:49:00,2024-10-19 16:10:00,Airbus A320,141,Delayed
1133,LAX,LAS,2024-08-16 01:13:00,2024-08-16 06:30:00,Boeing 737,317,Cancelled
1134,LAS,JFK,2024-01-12 11:43:00,2024-01-12 14:16:00,Boeing 777,153,Scheduled
1135,SEA,SFO,2024-12-01 06:28:00,2024-12-01 10:24:00,Airbus A320,236,Scheduled
1136,JFK,SFO,2024-03-13 20:30:00,2024-03-14 01:41:00,Airbus A320,311,Delayed
1137,MIA,MIA,2024-10-13 17:18:00,2024-10-13 21:25:00,Boeing 737,247,Delayed
1138,SFO,LAX,2024-12-20 02:02:00,2024-12-20 04:04:00,Boeing 737,122,Cancelled
1139,LAX,JFK,2024-06-27 19:22:00,2024-06-28 00:01:00,Airbus A380,279,Cancelled
1140,SFO,ATL,2024-01-20 23:11:00,2024-01-21 01:52:00,Airbus A380,161,Scheduled
1141,ATL,ATL,2024-03-20 13:45:00,2024-03-20 15:19:00,Airbus A380,94,Scheduled
1142,DFW,DFW,2024-09-12 10:55:00,2024-09-12 15:37:00,Boeing 737,282,Delayed
1143,SFO,LAS,2024-06-11 01:19:00,2024-06-11 03:14:00,Boeing 777,115,Cancelled
1144,DEN,ATL,2024-07-30 22:12:00,2024-07-31 01:08:00,Airbus A320,176,Cancelled
1145,ORD,SFO,2024-02-03 20:58:00,2024-02-04 00:32:00,Airbus A320,214,Scheduled
1146,LAX,ATL,2024-09-20 12:49:00,2024-09-20 18:45:00,Airbus A320,356,Cancelled
1147,SFO,JFK,2024-06-30 08:01:00,2024-06-30 09:19:00,Boeing 737,78,Scheduled
1148,ORD,SFO,2024-07-20 23:31:00,2024-07-21 05:18:00,Airbus A320,347,Cancelled
1149,ORD,ATL,2024-07-12 20:50:00,2024-07-13 02:19:00,Airbus A380,329,Cancelled
1150,ATL,DEN,2024-08-30 09:09:00,2024-08-30 12:00:00,Airbus A380,171,Delayed
1151,ORD,DEN,2024-03-02 19:34:00,2024-03-02 23:16:00,Airbus A320,222,Delayed
1152,JFK,JFK,2024-02-22 02:49:00,2024-02-22 03:50:00,Airbus A380,61,Scheduled
1153,MIA,ORD,2024-04-30 05:56:00,2024-04-30 11:16:00,Airbus A380,320,Scheduled
1154,ATL,ATL,2024-11-07 06:14:00,2024-11-07 12:06:00,Boeing 737,352,Delayed
1155,LAS,SEA,2024-08-08 03:16:00,2024-08-08 04:25:00,Boeing 737,69,Delayed
1156,DFW,LAS,2024-04-23 00:23:00,2024-04-23 05:35:00,Boeing 737,312,Delayed
1157,DFW,SFO,2024-03-13 08:12:00,2024-03-13 10:07:00,Airbus A380,115,Delayed
1158,ATL,SEA,2024-12-02 02:27:00,2024-12-02 04:54:00,Boeing 777,147,Scheduled
1159,DEN,LAX,2024-10-16 17:46:00,2024-10-16 23:10:00,Airbus A320,324,Scheduled
1160,LAX,JFK,2024-09-23 18:22:00,2024-09-23 21:35:00,Boeing 737,193,Scheduled
1161,SFO,DFW,2024-10-18 03:02:00,2024-10-18 04:52:00,Airbus A380,110,Cancelled
1162,SFO,LAX,2024-04-11 19:01:00,2024-04-11 23:11:00,Airbus A380,250,Delayed
1163,DFW,ORD,2024-11-13 09:13:00,2024-11-13 13:53:00,Airbus A320,280,Cancelled
1164,SFO,SEA,2024-08-21 18:23:00,2024-08-21 19:28:00,Boeing 777,65,Cancelled
1165,SFO,JFK,2024-07-06 15:12:00,2024-07-06 17:31:00,Boeing 737,139,Cancelled
1166,LAS,DFW,2024-09-04 04:15:00,2024-09-04 09:18:00,Airbus A380,303,Scheduled
1167,JFK,ATL,2024-11-04 13:27:00,2024-11-04 17:49:00,Boeing 737,262,Cancelled
1168,LAS,SFO,2024-03-02 06:37:00,2024-03-02 07:57:00,Boeing 737,80,Delayed
1169,JFK,ATL,2024-01-23 07:32:00,2024-01-23 09:43:00,Airbus A320,131,Scheduled
1170,JFK,ATL,2024-10-13 12:58:00,2024-10-13 18:30:00,Airbus A380,332,Cancelled
1171,MIA,DEN,2024-08-23 09:46:00,2024-08-23 15:19:00,Airbus A380,333,Delayed
1172,LAS,MIA,2024-05-19 18:02:00,2024-05-19 19:29:00,Airbus A320,87,Delayed
1173,DEN,MIA,2024-01-16 09:58:00,2024-01-16 13:58:00,Airbus A320,240,Cancelled
1174,DFW,SFO,2024-03-25 21:48:00,2024-03-25 23:40:00,Boeing 737,112,Cancelled
1175,LAX,DEN,2024-12-12 18:00:00,2024-12-12 21:35:00,Boeing 737,215,Cancelled
1176,JFK,LAX,2024-03-01 22:49:00,2024-03-01 23:56:00,Boeing 737,67,Cancelled
1177,SFO,JFK,2024-11-15 05:22:00,2024-11-15 07:07:00,Boeing 737,105,Delayed
1178,DFW,DFW,2024-11-14 12:16:00,2024-11-14 15:06:00,Boeing 777,170,Delayed
1179,JFK,MIA,2024-11-04 08:06:00,2024-11-04 11:41:00,Boeing 777,215,Scheduled
1180,LAS,ATL,2024-09-04 01:55:00,2024-09-04 03:02:00,Airbus A320,67,Scheduled
1181,DEN,SEA,2024-02-21 21:15:00,2024-02-21 23:01:00,Airbus A380,106,Delayed
1182,ATL,ORD,2024-04-01 17:17:00,2024-04-01 18:50:00,Boeing 737,93,Delayed
1183,ATL,SEA,2024-06-30 01:22:00,2024-06-30 03:49:00,Boeing 777,147,Cancelled
1184,LAS,ORD,2024-10-10 08:34:00,2024-10-10 10:48:00,Airbus A380,134,Cancelled
1185,DEN,ORD,2024-06-13 09:28:00,2024-06-13 15:05:00,Airbus A380,337,Delayed
1186,LAX,LAS,2024-03-03 23:02:00,2024-03-04 00:36:00,Airbus A380,94,Delayed
1187,JFK,SEA,2024-02-19 06:41:00,2024-02-19 10:13:00,Airbus A380,212,Cancelled
1188,DEN,LAS,2024-08-22 14:55:00,2024-08-22 20:44:00,Airbus A380,349,Scheduled
1189,JFK,DFW,2024-11-15 09:03:00,2024-11-15 12:36:00,Boeing 777,213,Delayed
1190,ORD,DFW,2024-07-26 05:39:00,2024-07-26 09:35:00,Airbus A380,236,Scheduled
1191,LAX,MIA,2024-11-27 07:30:00,2024-11-27 10:15:00,Airbus A380,165,Cancelled
1192,ATL,JFK,2024-03-03 02:49:00,2024-03-03 03:52:00,Airbus A320,63,Cancelled
1193,MIA,LAX,2024-12-26 04:49:00,2024-12-26 10:10:00,Airbus A320,321,Scheduled
1194,ATL,MIA,2024-02-05 19:05:00,2024-02-05 20:53:00,Boeing 777,108,Cancelled
1195,LAS,ORD,2024-07-06 23:19:00,2024-07-07 01:33:00,Airbus A380,134,Scheduled
1196,ATL,DEN,2024-07-30 15:31:00,2024-07-30 20:08:00,Airbus A380,277,Cancelled
1197,ATL,DFW,2024-05-09 21:18:00,2024-05-09 23:02:00,Airbus A320,104,Delayed
1198,DFW,SEA,2024-02-16 04:56:00,2024-02-16 10:19:00,Boeing 737,323,Cancelled
1199,ATL,SEA,2024-09-06 09:47:00,2024-09-06 12:36:00,Boeing 737,169,Cancelled
1200,JFK,SFO,2024-10-13 23:22:00,2024-10-14 00:57:00,Airbus A380,95,Delayed
1201,SFO,DFW,2024-03-03 00:22:00,2024-03-03 04:08:00,Airbus A320,226,Scheduled
1202,ATL,SFO,2024-04-16 05:39:00,2024-04-16 08:34:00,Boeing 777,175,Cancelled
1203,MIA,DFW,2024-02-27 23:10:00,2024-02-28 02:21:00,Airbus A320,191,Cancelled
1204,MIA,DEN,2024-06-25 15:06:00,2024-06-25 16:31:00,Airbus A320,85,Scheduled
1205,ATL,LAX,2024-11-20 17:18:00,2024-11-20 19:42:00,Boeing 737,144,Delayed
1206,MIA,JFK,2024-10-27 10:49:00,2024-10-27 14:36:00,Airbus A320,227,Scheduled
1207,LAS,LAX,2024-12-21 17:14:00,2024-12-21 21:18:00,Airbus A320,244,Cancelled
1208,DFW,DEN,2024-04-17 10:23:00,2024-04-17 15:00:00,Boeing 777,277,Delayed
1209,MIA,SFO,2024-04-21 21:14:00,2024-04-22 00:51:00,Boeing 737,217,Cancelled
1210,JFK,MIA,2024-07-05 01:51:00,2024-07-05 07:29:00,Airbus A320,338,Delayed
1211,LAX,MIA,2024-01-10 20:33:00,2024-01-11 02:16:00,Boeing 737,343,Scheduled
1212,LAX,SFO,2024-02-18 15:05:00,2024-02-18 19:42:00,Airbus A320,277,Delayed
1213,SEA,MIA,2024-04-10 14:54:00,2024-04-10 17:36:00,Boeing 777,162,Delayed
1214,ORD,DEN,2024-12-06 19:19:00,2024-12-07 00:34:00,Boeing 777,315,Scheduled
1215,ORD,SFO,2024-10-06 07:51:00,2024-10-06 09:23:00,Boeing 737,92,Delayed
1216,ORD,DFW,2024-07-31 08:06:00,2024-07-31 12:10:00,Airbus A380,244,Delayed
1217,SFO,DFW,2024-01-26 19:40:00,2024-01-27 01:33:00,Airbus A380,353,Scheduled
1218,LAS,JFK,2024-01-22 06:45:00,2024-01-22 08:36:00,Boeing 737,111,Scheduled
1219,SFO,JFK,2024-05-12 07:51:00,2024-05-12 12:59:00,Boeing 737,308,Cancelled
1220,DEN,SEA,2024-06-03 10:26:00,2024-06-03 14:20:00,Boeing 737,234,Cancelled
1221,JFK,SFO,2024-12-25 11:08:00,2024-12-25 16:18:00,Boeing 737,310,Cancelled
1222,JFK,SFO,2024-05-17 00:23:00,2024-05-17 02:03:00,Boeing 777,100,Cancelled
1223,SEA,LAX,2024-11-20 10:15:00,2024-11-20 16:15:00,Boeing 777,360,Cancelled
1224,LAS,SEA,2024-06-25 07:19:00,2024-06-25 12:51:00,Airbus A320,332,Cancelled
1225,SFO,ATL,2024-03-29 19:33:00,2024-03-29 21:33:00,Airbus A320,120,Delayed
1226,SFO,SEA,2024-07-08 04:20:00,2024-07-08 09:29:00,Airbus A320,309,Delayed
1227,DEN,DFW,2024-09-13 19:03:00,2024-09-13 23:25:00,Airbus A380,262,Cancelled
1228,JFK,ATL,2024-03-10 14:17:00,2024-03-10 19:15:00,Airbus A320,298,Cancelled
1229,DEN,ATL,2024-08-22 06:39:00,2024-08-22 11:59:00,Boeing 737,320,Delayed
1230,DFW,LAX,2024-04-29 07:49:00,2024-04-29 13:45:00,Airbus A320,356,Scheduled
1231,SEA,MIA,2024-01-14 19:54:00,2024-01-14 23:12:00,Airbus A320,198,Scheduled
1232,LAS,ATL,2024-11-10 06:17:00,2024-11-10 09:44:00,Boeing 777,207,Delayed
1233,LAX,SFO,2024-10-09 02:43:00,2024-10-09 08:20:00,Airbus A320,337,Scheduled
1234,SFO,DEN,2024-07-02 19:40:00,2024-07-02 22:09:00,Airbus A320,149,Scheduled
1235,JFK,SFO,2024-06-03 21:14:00,2024-06-04 02:16:00,Airbus A380,302,Delayed
1236,ORD,MIA,2024-08-20 17:43:00,2024-08-20 20:50:00,Airbus A380,187,Cancelled
1237,LAS,SFO,2024-06-21 18:20:00,2024-06-21 20:19:00,Airbus A380,119,Cancelled
1238,DFW,ORD,2024-03-01 21:52:00,2024-03-02 01:39:00,Airbus A380,227,Delayed
1239,DFW,DFW,2024-02-14 00:42:00,2024-02-14 05:53:00,Boeing 737,311,Scheduled
1240,ORD,LAS,2024-02-18 05:37:00,2024-02-18 08:38:00,Boeing 777,181,Scheduled
1241,ATL,DFW,2024-05-13 07:33:00,2024-05-13 12:47:00,Boeing 777,314,Delayed
1242,JFK,LAX,2024-05-07 14:05:00,2024-05-07 18:12:00,Boeing 737,247,Cancelled
1243,SFO,ATL,2024-08-09 10:18:00,2024-08-09 13:22:00,Boeing 777,184,Scheduled
1244,SFO,JFK,2024-09-15 21:11:00,2024-09-16 01:23:00,Airbus A320,252,Cancelled
1245,JFK,LAX,2024-09-12 10:54:00,2024-09-12 15:35:00,Airbus A320,281,Scheduled
1246,SEA,LAS,2024-12-13 20:37:00,2024-12-13 22:02:00,Airbus A380,85,Delayed
1247,ORD,SFO,2024-09-15 07:17:00,2024-09-15 11:58:00,Boeing 737,281,Cancelled
1248,DFW,ATL,2024-03-12 08:26:00,2024-03-12 09:37:00,Airbus A380,71,Cancelled
1249,DFW,ORD,2024-07-27 09:04:00,2024-07-27 13:43:00,Boeing 777,279,Scheduled
1250,LAS,LAS,2024-01-13 02:40:00,2024-01-13 08:15:00,Boeing 737,335,Delayed
1251,MIA,LAS,2024-11-22 22:42:00,2024-11-23 02:18:00,Airbus A380,216,Scheduled
1252,SFO,ATL,2024-10-05 00:35:00,2024-10-05 05:27:00,Airbus A320,292,Delayed
1253,DFW,JFK,2024-03-31 14:33:00,2024-03-31 20:00:00,Airbus A320,327,Delayed
1254,JFK,LAX,2024-05-05 03:25:00,2024-05-05 05:22:00,Boeing 737,117,Scheduled
1255,SEA,LAS,2024-03-19 12:55:00,2024-03-19 14:09:00,Boeing 737,74,Delayed
1256,MIA,MIA,2024-03-25 14:07:00,2024-03-25 19:33:00,Airbus A320,326,Scheduled
1257,ATL,LAS,2024-05-23 04:18:00,2024-05-23 07:34:00,Boeing 737,196,Cancelled
1258,DFW,MIA,2024-03-24 18:13:00,2024-03-24 20:34:00,Boeing 777,141,Delayed
1259,ATL,SFO,2024-08-28 21:50:00,2024-08-29 01:50:00,Airbus A380,240,Delayed
1260,SEA,DEN,2024-03-06 17:43:00,2024-03-06 22:24:00,Airbus A320,281,Scheduled
1261,ORD,SFO,2024-11-07 02:44:00,2024-11-07 05:37:00,Airbus A380,173,Delayed
1262,ATL,SFO,2024-08-16 12:06:00,2024-08-16 17:06:00,Airbus A380,300,Cancelled
1263,SEA,LAS,2024-02-06 13:30:00,2024-02-06 16:43:00,Boeing 777,193,Scheduled
1264,ORD,JFK,2024-06-14 02:10:00,2024-06-14 05:06:00,Airbus A320,176,Delayed
1265,LAS,MIA,2024-12-01 11:31:00,2024-12-01 15:08:00,Boeing 777,217,Scheduled
1266,ATL,LAX,2024-07-31 02:30:00,2024-07-31 05:46:00,Boeing 777,196,Cancelled
1267,DFW,ATL,2024-09-24 12:31:00,2024-09-24 17:51:00,Boeing 777,320,Delayed
1268,SEA,DEN,2024-02-19 21:50:00,2024-02-20 02:07:00,Boeing 737,257,Delayed
1269,ORD,LAX,2024-01-07 02:45:00,2024-01-07 06:56:00,Airbus A320,251,Cancelled
1270,MIA,JFK,2024-07-25 12:44:00,2024-07-25 17:29:00,Airbus A320,285,Cancelled
1271,JFK,ORD,2024-08-27 18:57:00,2024-08-27 21:17:00,Boeing 737,140,Cancelled
1272,SFO,JFK,2024-12-05 04:53:00,2024-12-05 06:29:00,Airbus A380,96,Delayed
1273,LAS,SEA,2024-03-11 00:39:00,2024-03-11 03:50:00,Airbus A380,191,Cancelled
1274,LAX,JFK,2024-12-07 05:19:00,2024-12-07 08:24:00,Airbus A320,185,Cancelled
1275,ORD,LAX,2024-08-03 11:57:00,2024-08-03 16:24:00,Airbus A320,267,Scheduled
1276,LAS,LAS,2024-11-23 14:41:00,2024-11-23 17:10:00,Boeing 737,149,Scheduled
1277,SFO,SEA,2024-01-28 21:32:00,2024-01-29 00:42:00,Boeing 777,190,Delayed
1278,ORD,LAS,2024-05-08 02:52:00,2024-05-08 05:42:00,Airbus A320,170,Delayed
1279,SFO,SEA,2024-03-12 00:11:00,2024-03-12 02:50:00,Airbus A380,159,Cancelled
1280,DFW,LAS,2024-04-17 04:53:00,2024-04-17 09:26:00,Airbus A380,273,Cancelled
1281,DFW,ORD,2024-07-13 15:18:00,2024-07-13 17:07:00,Airbus A380,109,Cancelled
1282,DEN,ATL,2024-01-04 22:45:00,2024-01-04 23:45:00,Airbus A380,60,Scheduled
1283,SEA,LAX,2024-07-12 19:51:00,2024-07-12 22:27:00,Airbus A320,156,Scheduled
1284,LAX,SFO,2024-07-13 16:22:00,2024-07-13 21:11:00,Boeing 777,289,Cancelled
1285,ORD,LAX,2024-05-16 16:21:00,2024-05-16 18:58:00,Airbus A380,157,Scheduled
1286,LAS,JFK,2024-10-08 10:01:00,2024-10-08 11:38:00,Boeing 737,97,Cancelled
